old_subnet,new_subnet
10.105.0.0/23,10.151.0.0/23
10.105.2.0/23,10.151.2.0/23
10.105.4.0/23,10.151.4.0/23
10.105.6.0/23,10.151.6.0/23
10.105.22.0/23,10.151.8.0/23
10.105.20.0/23,10.151.10.0/23
10.105.36.0/23,10.151.12.0/23
10.105.42.0/23,10.151.14.0/23
10.105.38.0/23,10.151.18.0/23
10.109.0.0/23,10.151.30.0/23
10.107.0.0/23,10.151.32.0/23
10.107.2.0/23,10.151.34.0/23
10.107.4.0/23,10.151.36.0/23
10.107.6.0/23,10.151.38.0/23
10.107.10.0/23,10.151.40.0/23
10.107.14.0/23,10.151.42.0/23
10.107.8.0/23,10.151.44.0/23
10.105.32.0/23,10.151.48.0/23
10.109.2.0/23,10.151.50.0/23
10.109.14.0/23,10.151.52.0/23
10.109.16.0/23,10.151.54.0/23
10.109.18.0/23,10.151.56.0/23
10.109.20.0/23,10.151.58.0/23
10.109.22.0/23,10.151.60.0/23
10.105.40.0/23,10.151.62.0/23
10.106.0.0/28,10.151.64.0/28
10.106.0.16/28,10.151.64.16/28
10.106.0.32/28,10.151.64.32/28
10.106.1.64/28,10.151.64.48/28
10.106.0.96/28,10.151.64.64/28
10.106.1.96/28,10.151.64.80/28
10.106.0.48/28,10.151.64.96/28
10.106.1.32/28,10.151.64.112/28
10.106.0.112/28,10.151.64.128/28
10.106.1.112/28,10.151.64.144/28
10.106.0.128/28,10.151.64.160/28
10.106.1.16/28,10.151.64.176/28
10.106.0.240/28,10.151.64.192/28
10.106.0.224/28,10.151.64.208/28
10.106.1.0/28,10.151.64.224/28
10.106.1.48/28,10.151.64.240/28
10.106.1.224/28,10.151.65.0/28
10.106.1.208/28,10.151.65.16/28
10.106.1.160/28,10.151.65.32/28
10.106.1.80/28,10.151.65.48/28
10.106.1.144/28,10.151.65.64/28
10.106.2.16/28,10.151.65.80/28
10.106.2.48/28,10.151.65.96/28
10.106.2.32/28,10.151.65.112/28
10.106.2.64/28,10.151.65.128/28
10.106.2.80/28,10.151.65.144/28
10.106.2.112/28,10.151.65.160/28
10.106.2.64/28,10.151.65.176/28
10.106.2.176/28,10.151.65.192/28
10.106.2.128/28,10.151.65.208/28
10.106.2.192/28,10.151.65.224/28
10.106.2.144/28,10.151.65.240/28
10.106.2.208/28,10.151.66.0/28
10.106.1.192/28,10.151.66.16/28
10.106.2.224/28,10.151.66.32/28
10.106.2.96/28,10.151.66.48/28
10.106.2.240/28,10.151.66.64/28
10.106.3.80/28,10.151.66.80/28
10.106.3.128/28,10.151.66.128/28
170.209.54.0/24,170.209.54.0/24
10.109.4.0/23,10.151.96.0/23
10.109.6.0/23,10.151.100.0/23
10.109.24.0/23,10.151.102.0/23
10.105.8.0/23,10.151.104.0/23
10.105.10.0/23,10.151.106.0/23
10.105.12.0/23,10.151.108.0/23
10.105.14.0/23,10.151.110.0/23
10.105.16.0/23,10.151.112.0/23
10.105.18.0/23,10.151.114.0/23
10.109.10.0/23,10.151.118.0/23
10.104.1.48/29,10.151.124.0/29
10.104.1.56/29,10.151.124.8/29
10.104.1.64/29,10.151.124.16/29
10.104.1.72/29,10.151.124.24/29
10.104.1.88/29,10.151.124.32/29
10.108.20.0/23,10.151.128.0/23
10.108.22.0/23,10.151.130.0/23
10.108.24.0/23,10.151.132.0/23
10.108.14.0/23,10.151.134.0/23
10.108.16.0/23,10.151.136.0/23
10.108.30.0/23,10.151.138.0/23
10.111.0.0/23,10.151.148.0/23
10.111.2.0/23,10.151.150.0/23
10.111.4.0/23,10.151.152.0/23
10.111.6.0/23,10.151.154.0/23
10.111.12.0/23,10.151.156.0/23
10.111.14.0/23,10.151.158.0/23
10.108.6.0/23,10.151.160.0/23
10.108.8.0/23,10.151.162.0/23
10.108.10.0/23,10.151.164.0/23
10.108.26.0/23,10.151.166.0/23
10.108.0.0/23,10.151.192.0/23
10.108.2.0/23,10.151.194.0/23
10.108.4.0/23,10.151.196.0/23
10.108.18.0/23,10.151.198.0/23
198.245.241.0/26,192.173.26.0/26
198.245.241.64/27,192.173.26.64/27
198.245.241.96/27,192.173.26.96/27
198.245.241.128/26,192.173.26.128/26
198.245.242.64/27,192.173.27.64/27
10.106.3.112/28,10.151.66.96/28
10.106.3.96/28,10.151.66.112/28
10.97.0.0/23,10.149.0.0/23
10.97.2.0/23,10.149.2.0/23
10.97.4.0/23,10.149.4.0/23
10.97.6.0/23,10.149.6.0/23
10.97.22.0/23,10.149.8.0/23
10.97.20.0/23,10.149.10.0/23
10.97.36.0/23,10.149.12.0/23
10.97.42.0/23,10.149.14.0/23
10.97.38.0/23,10.149.18.0/23
10.99.0.0/23,10.149.32.0/23
10.99.2.0/23,10.149.34.0/23
10.99.4.0/23,10.149.36.0/23
10.99.6.0/23,10.149.38.0/23
10.99.10.0/23,10.149.40.0/23
10.99.14.0/23,10.149.42.0/23
10.99.8.0/23,10.149.44.0/23
10.97.32.0/23,10.149.48.0/23
10.101.2.0/23,10.149.50.0/23
10.101.14.0/23,10.149.52.0/23
10.101.16.0/23,10.149.54.0/23
10.101.18.0/23,10.149.56.0/23
10.101.20.0/23,10.149.58.0/23
10.101.22.0/23,10.149.60.0/23
10.97.40.0/23,10.149.62.0/23
10.151.64.0/28,10.149.64.0/28
10.151.64.16/28,10.149.64.16/28
10.151.64.32/28,10.149.64.32/28
10.151.64.48/28,10.149.64.48/28
10.151.64.64/28,10.149.64.64/28
10.151.64.80/28,10.149.64.80/28
10.151.64.96/28,10.149.64.96/28
10.151.64.112/28,10.149.64.112/28
10.151.64.128/28,10.149.64.128/28
10.151.64.144/28,10.149.64.144/28
10.151.64.160/28,10.149.64.160/28
10.151.64.176/28,10.149.64.176/28
10.151.64.192/28,10.149.64.192/28
10.151.64.208/28,10.149.64.208/28
10.151.64.224/28,10.149.64.224/28
10.151.64.240/28,10.149.64.240/28
10.151.65.0/28,10.149.65.0/28
10.151.65.16/28,10.149.65.16/28
10.151.65.32/28,10.149.65.32/28
10.151.65.48/28,10.149.65.48/28
10.151.65.64/28,10.149.65.64/28
10.151.65.80/28,10.149.65.80/28
10.151.65.96/28,10.149.65.96/28
10.151.65.112/28,10.149.65.112/28
10.151.65.128/28,10.149.65.128/28
10.151.65.144/28,10.149.65.144/28
10.151.65.160/28,10.149.65.160/28
10.151.65.176/28,10.149.65.176/28
10.151.65.192/28,10.149.65.192/28
10.151.65.208/28,10.149.65.208/28
10.151.65.224/28,10.149.65.224/28
10.151.65.240/28,10.149.65.240/28
10.151.66.0/28,10.149.66.0/28
10.151.66.16/28,10.149.66.16/28
10.151.66.32/28,10.149.66.32/28
10.151.66.48/28,10.149.66.48/28
10.151.66.64/28,10.149.66.64/28
10.151.66.80/28,10.149.66.80/28
10.151.66.96/28,10.149.66.96/28
10.151.66.112/28,10.149.66.112/28
10.151.66.128/28,10.149.66.128/28
10.101.4.0/23,10.149.96.0/23
10.101.8.0/23,10.149.98.0/23
10.101.6.0/23,10.149.100.0/23
10.101.24.0/23,10.149.102.0/23
10.97.8.0/23,10.149.104.0/23
10.97.10.0/23,10.149.106.0/23
10.97.12.0/23,10.149.108.0/23
10.97.14.0/23,10.149.110.0/23
10.97.16.0/23,10.149.112.0/23
10.97.18.0/23,10.149.114.0/23
10.151.116.0/23,10.149.116.0/23
10.101.10.0/23,10.149.118.0/23
10.151.124.0/29,10.149.124.0/29
10.151.124.8/29,10.149.124.8/29
10.151.124.16/29,10.149.124.16/29
10.151.124.24/29,10.149.124.24/29
10.151.124.32/29,10.149.124.32/29
10.100.20.0/23,10.149.128.0/23
10.100.22.0/23,10.149.130.0/23
10.100.24.0/23,10.149.132.0/23
10.100.14.0/23,10.149.134.0/23
10.100.16.0/23,10.149.136.0/23
10.103.0.0/23,10.149.148.0/23
10.103.2.0/23,10.149.150.0/23
10.103.4.0/23,10.149.152.0/23
10.103.6.0/23,10.149.154.0/23
10.103.12.0/23,10.149.156.0/23
10.103.14.0/23,10.149.158.0/23
10.100.6.0/23,10.149.160.0/23
10.100.8.0/23,10.149.162.0/23
10.100.10.0/23,10.149.164.0/23
10.100.26.0/23,10.149.166.0/23
10.100.0.0/23,10.149.192.0/23
10.100.2.0/23,10.149.194.0/23
10.100.4.0/23,10.149.196.0/23
10.100.18.0/23,10.149.198.0/23
10.0.0.0/21,10.80.0.0/21
10.0.8.0/23,10.80.8.0/23
10.0.10.0/24,10.80.10.0/24
