old_subnet,new_subnet
10.4.0.0/16,10.14.0.0/16
10.4.1.0/24,10.14.1.0/24
10.4.2.0/24,10.14.2.0/24,
10.4.3.0/24,10.14.3.0/24
10.4.4.0/24,10.14.4.0/24
10.5.0.0/16,10.15.0.0/16
10.5.1.0/24,10.15.1.0/24
10.5.2.0/24,10.15.2.0/24
10.5.3.0/24,10.15.3.0/24
10.5.4.0/24,10.15.4.0/24
10.6.0.0/24,10.16.0.0/24
10.6.1.0/24,10.16.1.0/24
10.6.2.0/24,10.16.2.0/24
10.6.3.0/24,10.16.3.0/24
10.6.4.0/24,10.16.4.0/24
10.8.0.0/16,10.9.0.0/16
10.8.0.101/32,10.9.0.101/32
10.8.0.0/24,10.9.1.0/24
10.10.1.0/24,10.20.1.0/24
10.10.2.0/24,10.20.2.0/24
10.10.3.0/24,10.20.3.0/24
10.10.4.0/24,10.20.4.0/24
10.250.0.0/16, 10.251.0.0/16
